SN,Sample Designation,Cast Density [kg/m3],Water / Cement Ratio,% of Pozzolain,Porosity,Moisture %,Hydration Day,Thermal Conductivity of CBF
474,MK10%,800,0.69,0.1,62.84,4.05,300,0.188
475,MK10%,600,0.69,0.1,71.19,3.52,300,0.121
476,MK10%,600,0.69,0.1,71.19,3.52,300,0.114
477,MK10%,600,0.69,0.1,71.19,3.52,300,0.119
478,MK10%,600,0.69,0.1,71.19,3.52,300,0.116
479,MK10%,600,0.69,0.1,71.19,3.52,300,0.121
480,MK10%,600,0.69,0.1,71.19,3.52,300,0.126
481,MK10%,400,0.69,0.1,80,3.49,300,0.076
482,MK10%,400,0.69,0.1,80,3.49,300,0.074
483,MK10%,400,0.69,0.1,80,3.49,300,0.072
484,MK10%,400,0.69,0.1,80,3.49,300,0.075
485,MK10%,400,0.69,0.1,80,3.49,300,0.071
486,MK10%,400,0.69,0.1,80,3.49,300,0.071
487,MK20%,800,0.69,0.2,64.06,4,300,0.174
488,MK20%,800,0.69,0.2,64.06,4,300,0.182
489,MK20%,800,0.69,0.2,64.06,4,300,0.172
490,MK20%,800,0.69,0.2,64.06,4,300,0.181
491,MK20%,800,0.69,0.2,64.06,4,300,0.185
492,MK20%,800,0.69,0.2,64.06,4,300,0.176
493,MK20%,600,0.69,0.2,73.44,3.6,300,0.118
494,MK20%,600,0.69,0.2,73.44,3.6,300,0.123
495,MK20%,600,0.69,0.2,73.44,3.6,300,0.113
496,MK20%,600,0.69,0.2,73.44,3.6,300,0.122
497,MK20%,600,0.69,0.2,73.44,3.6,300,0.127
498,MK20%,600,0.69,0.2,73.44,3.6,300,0.126
499,MK20%,400,0.69,0.2,83.08,3.54,300,0.072
500,MK20%,400,0.69,0.2,83.08,3.54,300,0.075
501,MK20%,400,0.69,0.2,83.08,3.54,300,0.072
502,MK20%,400,0.69,0.2,83.08,3.54,300,0.075
503,MK20%,400,0.69,0.2,83.08,3.54,300,0.074
504,MK20%,400,0.69,0.2,83.08,3.54,300,0.075
